circulatory_ratio,relief,avg_slope,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population_density,avg_median_income,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,avg_impervious_percent,orb100yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0.615384615,0.27756313,0.197256695,0.841666667,0.050151976,0.021810251,0.5,0.051282051,0,0,0,0.022630835,0,0.245614035,0.00799599,0.031993954,0.082455135,0.635880915,0.056848677,0.821812596,0.591805826,0.571945404,0.007848392,0.602473159,0.160040426,0.042654146
0.596153846,0.023871947,0.013063357,0.091666667,0.06231003,0.25736096,0,0.102564103,0.256872598,0.018980477,0,0.108910891,0.142857143,0.263157895,0.082498565,0.28920519,0.065326113,0.510947031,0.044881976,0.529441884,0.403611315,0.402688703,0.0237366,0.571371175,0.327562821,0.15818836
0.711538462,0.276666207,0.193990856,0.491666667,0.045592705,0.112322792,0,0.025641026,0.340969554,0.021420824,0,0.42291372,0,0.280701754,0.078803755,0.121677793,0.019698006,0.499888279,0.045840407,0.778801843,0.418083501,0.38508469,0.014165391,0.612691681,0.374654142,0.001034334
0.615384615,0.089968263,0.079033312,0.041666667,0.065349544,0.290076336,0,0.025641026,0.140112326,0.132863341,0.361076605,0.152758133,0,0.350877193,0.198250422,0.1573246,0.122675439,0.673199201,0.082507257,0.734767025,0.20747393,0.257038316,0.132465544,0.189504699,0.773636639,0.455765169
0.403846154,0.446805575,0.08556499,0.541666667,0.141337386,0.119956379,0.5,0.205128205,0.051877032,0.023861171,0.154037267,0.118811881,0,0.105263158,0.198881047,0.141957425,0.617816549,0.488569844,0.385727586,0.716333845,0.156019139,0.163163953,0.40467075,0.211031004,0.371262748,0.162234291
0.230769231,0.302125017,0.097322012,0,0.072948328,0.044165758,0.5,0.076923077,0.089269879,0.083785249,0.182194617,0.059405941,0,0.298245614,0.177464083,0.213628921,0.326600994,0.721584465,0.216495975,0.734767025,0.224862991,0.190782766,0,0.638119685,0.709163379,0.476618851
0.365384615,0.236373672,0.064010451,0.016666667,0.088145897,0.273173391,0,0.076923077,0.301803133,0.084598698,0.055072464,0.120226308,0,0.140350877,0.074914906,0.095729941,0.165327961,0.522541156,0.056930829,0.73374296,0.268296377,0.29206545,0,0.638119685,0.46427948,0.16676329
0.596153846,0.023871947,0.013063357,0.4,0.045592705,0.261177754,0,0.051282051,0,0,0,0.00990099,0,0.315789474,0.050142699,0.107192342,0.122597815,0.632075272,0.056547456,0.768561188,0.315056122,0.403724716,0.0237366,0.571371175,0.371116843,0.261158258
0.442307692,0.279977922,0.20182887,0.408333333,0.647416413,0.248636859,0,0.615384615,0.026899202,0.002169197,0,0.016973126,0.142857143,0.105263158,0.007874716,0.063106185,0.097388508,0.537454908,0.011802399,0.741423451,0.012867905,0.01294195,0.009188361,0.316725073,0.502869921,0.528760659
0.634615385,0.971850421,0.135858916,0.008333333,0.012158055,0.300981461,0.5,0.025641026,0.085279338,0.006507592,0,0.077793494,0.142857143,0.403508772,0.093995327,0.199017509,0.047768311,0.441850951,0.066460376,0.768049155,0.757304808,0.772858083,0.013782542,0.319211625,0.989986898,1
0.25,0.255898993,0.13455258,0.075,0.050151976,0.409487459,0,0.025641026,0.334614248,0.082429501,0.049689441,0.087694484,0.142857143,0.315789474,0.154608002,0.118528782,0.102238158,0.457651805,0.045265349,0.737839222,0.355314602,0.306298306,0,0.638119685,0.57742778,0.143085481
