subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
51202030602,111.00,52.59,0.50,56.13,3.93,17.97,0.59,0.56,3.68,0.00,0.03,23.07,79.00,0.00,0.00,3.01,0.00,16.00,148.29,9.66,"11,358.00",129.59,"56,059.00",4.59,-138.00,40.33,810.40,509.79,3.40,1.76,0.22,0.08,19.63,69.69,0.89,"6,732.42","5,284.17","2,859.31","5,988.27","30,864.78",102.07
51202030806,48.72,40.61,0.37,78.06,8.18,10.07,0.78,5.17,2.08,0.01,0.40,2.40,1.00,0.00,0.00,1.29,0.00,4.00,75.02,10.48,"8,793.00",180.47,"52,564.00",5.23,582.00,41.10,70.72,43.96,2.12,0.14,0.00,0.00,25.28,10.97,0.30,"6,750.07","5,302.76","2,868.47","6,005.81","15,002.07","2,499.78"
51202040302,97.52,52.16,0.45,29.07,2.17,24.53,0.05,50.83,551.69,0.00,1.48,9.48,490.00,2.02,872.00,1.10,0.00,20.00,296.03,12.49,"37,147.00","34,056.91","63,854.17","3,969.81","1,201.00",39.47,434.94,354.06,8.79,7.87,3.98,1.30,6.16,64.24,7.07,"5,784.46","4,733.20","2,700.21","5,259.49","63,733.78","44,975.75"
51202040404,82.16,55.31,0.34,19.49,1.16,10.50,0.00,"7,629,618.00","18,721,500.24",0.00,"148,693.85",7.32,79.00,1.40,27.00,0.18,0.00,10.00,163.88,12.00,"43,425.00","7,369,207,006.00","64,635.57","149,844,785.00","1,697.00",38.66,785.08,447.42,4.54,2.28,1.28,0.53,3.57,67.53,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","34,160.79","23,744.27"
51202040501,48.66,42.15,0.34,80.79,2.27,12.18,0.65,1.07,3.05,0.01,0.09,3.51,88.00,1.94,372.00,0.86,0.00,6.00,296.81,11.27,"83,724.00","1,720.44","55,549.92",201.77,"12,274.00",39.11,343.21,239.89,12.79,12.28,5.15,2.23,2.69,10.01,21.29,"5,832.68","4,755.65","2,698.62","5,292.11","30,585.39","16,009.58"
51202040603,71.91,60.41,0.25,59.82,2.45,10.93,0.00,0.62,1.66,0.01,0.04,6.04,309.00,0.63,440.00,0.44,0.00,17.00,270.32,16.96,"67,062.00","268,410,361,836.16","66,030.44","17,550,616,394.55","6,094.00",39.47,465.94,273.48,7.11,9.01,4.39,1.93,2.79,40.58,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","58,422.34","47,033.63"
51202040806,72.48,53.26,0.32,50.29,1.94,20.61,0.02,0.72,5.86,0.00,0.04,20.42,312.00,0.39,133.00,0.87,0.00,8.00,143.48,7.60,"35,973.00","377,570.84","57,077.88","15,880.37",267.00,39.45,543.37,396.66,3.80,3.12,2.14,0.91,4.38,52.51,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","38,248.30","16,456.51"
51202050501,75.32,46.25,0.44,19.49,1.16,20.61,0.48,0.44,5.64,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.00,18.00,112.84,8.51,"28,674.00",380.70,"62,004.50",5.89,253.00,40.13,626.73,532.46,2.77,1.23,0.32,0.05,3.50,63.36,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","30,573.37","25,771.58"
51202060104,41.95,38.21,0.36,56.61,4.05,15.07,0.49,4.40,5.41,0.00,0.25,1.82,8.00,0.00,0.00,0.14,1.00,6.00,60.56,5.01,"13,109.00",312.50,"57,748.67",7.70,"-1,381.00",39.60,88.01,57.19,1.38,0.52,0.04,0.00,7.35,29.30,0.63,"6,069.44","4,857.84","2,690.58","5,453.81","41,427.46","52,179.08"
51202060105,130.97,59.88,0.46,156.89,3.04,28.89,0.01,402.06,"11,616.91",0.01,63.08,5.77,24.00,0.00,0.00,0.57,1.00,23.00,167.08,15.80,"23,346.00","324,871.75","53,448.60","5,385.31",615.00,40.12,"1,415.14",981.40,3.92,1.90,0.39,0.08,16.68,98.86,0.87,"6,075.01","4,870.52","2,703.02","5,463.48","81,557.16","98,681.85"
51202060107,103.50,70.37,0.26,53.12,3.02,29.42,0.09,0.47,8.36,0.00,0.02,22.64,304.00,0.83,120.00,0.64,1.00,18.00,242.05,9.41,"33,702.00","6,112.39","54,159.29",180.10,-159.00,39.53,698.50,413.97,8.34,4.82,1.97,0.66,10.94,62.99,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","47,569.69","14,119.94"
51202060301,44.68,34.90,0.46,67.83,3.69,15.91,0.00,0.36,5.67,0.00,0.02,2.91,64.00,0.07,37.00,0.09,0.00,12.00,154.60,5.53,"19,390.00","22,465,449.26","56,499.50","2,284,779.06",261.00,40.20,"1,036.32",588.85,2.97,3.55,1.65,0.79,2.23,28.51,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","27,773.12",126.55
51202060503,89.25,53.84,0.39,64.02,2.30,19.61,0.05,61.79,564.17,0.00,3.96,67.66,427.00,1.99,68.00,0.28,0.00,11.00,90.72,9.44,"18,196.00","26,697.81","56,788.33",437.24,817.00,39.20,907.27,544.15,2.96,0.48,0.24,0.12,8.63,67.03,0.65,"6,854.21","5,315.28","2,819.61","6,058.27","50,828.33","96,919.93"
51202070201,61.89,34.70,0.65,48.32,4.00,15.85,0.56,4.23,4.06,0.00,0.20,2.17,8.00,0.00,0.00,0.55,0.00,11.00,86.99,1.28,"16,528.00",267.05,"54,718.50",8.69,-42.00,40.08,76.50,55.91,2.49,0.56,0.12,0.07,18.33,31.89,0.74,"6,126.16","4,953.90","2,781.92","5,535.08","34,333.26",0.00
51202070303,75.07,42.64,0.52,76.45,6.95,22.25,0.08,0.57,6.60,0.00,0.04,3.41,15.00,0.00,0.00,0.45,1.00,4.00,104.07,6.49,"9,940.00","4,014.18","56,603.50",211.61,-18.00,40.90,537.91,382.35,3.62,0.40,0.05,0.00,36.68,24.50,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","27,673.86","27,101.00"
51202070504,65.37,51.12,0.31,152.64,8.59,21.29,0.00,1.24,6.93,0.01,0.19,3.84,33.00,0.00,0.00,0.79,5.00,6.00,241.07,9.67,"25,408.00","5,907,499,872.93","58,484.00","194,839,613.25","1,069.00",37.64,251.72,176.20,4.03,1.60,0.67,0.23,27.46,14.70,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","34,738.26","14,966.47"
51202070703,60.31,41.39,0.44,19.49,1.16,18.53,0.00,"106,335,942.50","1,970,222,394.00",0.00,"2,072,384.26",4.42,3.00,0.00,0.00,1.98,0.00,4.00,83.54,4.85,"24,189.00","138,823,000,000.00","51,869.00","1,532,343,676.00",901.00,37.90,"1,061.13",721.80,2.55,0.29,0.06,0.02,22.63,23.61,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","82,382.06","58,093.19"
51202080203,76.33,45.43,0.46,19.49,1.16,20.71,0.45,0.71,6.42,0.00,0.01,9.52,8.00,0.00,0.00,0.42,1.00,12.00,84.75,0.00,"10,945.00",163.82,"58,525.50",5.88,"1,874.00",41.25,"1,002.40",609.25,3.19,0.08,0.01,0.00,41.17,9.77,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","39,924.96","38,897.13"
