ws_id,ws_fraction,policy_total_building_coverage_avgw,policy_total_contents_coverage_avgw,policy_total_insurance_premium_avgw,claims_amt_paid_building_avgw,claims_amt_paid_contents_avgw,claims_total_building_insurance_coverage_avgw,claims_total_contents_insurance_coverage_avgw,policy_total_building_coverage_sum,policy_total_contents_coverage_sum,policy_total_insurance_premium_sum,claims_amt_paid_building_sum,claims_amt_paid_contents_sum,claims_total_building_insurance_coverage_sum,claims_total_contents_insurance_coverage_sum,NAME_cnty
051201030105,1.0,17058.512469999998,3396.8303079999996,133.37335819999998,59.23685825,10.99489836,4976.55349,1999.915353,12331260.68,3961991.6780000003,102507.3192,2162.537362,756.8888440000001,41619.76973,19791.56786,Randolph
051201030201,1.0,17469.52857,4742.34696,104.6365173,3157.441972,1211.7133609999998,18767.29246,12937.830740000001,21428036.93,4544458.779,175479.6741,30895.247260000004,11850.83689,185863.7875,127441.8453,Jay
051201030202,1.0,21261.30854,7380.722569,184.2294107,192.87838019999998,33.68606637,17495.016480000002,6989.312443000001,13040557.7,4460688.409,111953.1384,671.0777443,245.0232535,44523.93395,17134.08045,Randolph
051201030203,1.0,32342.5775,12118.8176,164.7259395,140.9993378,23.72842117,12904.04543,5159.790675,15124707.58,5262501.453,124499.2144,620.8926047,182.4181741,46857.19663,18341.43689,Randolph
051201030204,1.0,24345.228369999997,5467.183018,146.370914,557.7212785,390.9893733,12072.6621,3323.440873,10535931.77,2537102.298,67466.71564,7291.0498019999995,3363.941768,93700.44692,27076.327569999998,Randolph
051201030205,1.0,37635.9009,14233.35254,92.16221239,3779.112689,1079.091541,3797.9981310000003,1087.216958,2513757.066,903339.9597,8584.946920999999,12005.770059999999,3177.178144,19302.308109999998,6316.496426,Jay
051201030206,1.0,53594.50531,19667.75649,179.697693,3133.427634,677.2923694,9418.73466,3381.53089,16422678.01,5446668.856000001,83524.15993,73923.99418,15990.01553,221881.5355,79648.39866,Randolph
051201030401,1.0,38697.16095,12529.8924,209.0858371,5054.082170000001,1097.903243,15512.231430000002,5534.019664,35632823.97,10319098.47,192260.8597,110390.8569,24437.84455,475209.3455,164248.8976,Delaware
051201030402,1.0,43118.14821,12624.92065,245.39007650000002,7976.961098000001,2258.14213,24415.98032,6321.058299,44281385.24,12506281.72,275700.0368,127304.5535,34458.52831,593126.0887,156819.1023,Delaware
051201030403,1.0,19419.101319999998,5469.664847,93.36404655,617.5947092,177.29192659999998,3550.364608,874.4170111999999,12523108.78,3451297.4869999997,78562.56427,27241.259,7812.601901999999,156939.5099,38639.38604,Delaware
051201030404,1.0,27304.22414,7575.643607999999,155.1902686,2176.6980559999997,626.4001856000001,12443.89299,3067.4945850000004,21987972.82,6034385.6,139930.0671,49526.12833,14252.402119999999,283134.282,69794.30613,Delaware
051201030501,1.0,16601.98062,5172.5726,60.63913915,166.78232549999998,0.005638568,3313.575454,1251.39007,1886297.4740000002,617556.6892,6265.372168,820.210435,2.537583862,16075.041280000001,5379.432296,Delaware
051201030604,1.0,29537.34597,11666.52923,79.83501425,1461.112615,195.3860313,7642.61085,3857.374642,4790081.908,1875913.69,15428.6673,15628.74803,2104.918576,81766.15227,41297.05558,Wabash
051201030605,1.0,29279.14404,11535.23646,70.21445239,582.0656365,77.81371766,3044.572577,1536.6129050000002,2735764.983,1054791.598,10355.1763,10538.76872,1408.88024,55124.44684,27821.618389999996,Wabash
051201040101,1.0,40106.77237,4378.627018,231.1717505,1.113467628,0.0,179.8256955,75.19983631,2883373.6689999998,491393.8111,14516.78041,82.66683961,0.0,13350.7446,5583.038651,Noble
051201040102,1.0,19232.57383,3923.661825,89.81897616,84.57838784,0.0,14062.05985,5863.49118,12742928.6,2952419.607,55099.13137999999,723.2926607999999,0.0,119016.3338,49677.36,Whitley
051201040103,1.0,52285.08094,12726.68892,217.81481290000002,329.2419097,0.0,53180.927319999995,22238.95219,21741706.03,5282701.387,90712.8038,1354.076609,0.0,218981.9337,91561.68597,Whitley
051201040104,1.0,17154.89314,4513.560838,78.82912284,247.54097940000003,3.787697942,15783.93935,6423.78655,13200012.41,2841863.224,62846.51991,3341.7576870000003,277.69610750000004,118719.9987,46351.21857,Whitley
051201040201,1.0,30211.42889,11191.101120000001,91.86863541,1204.732706,81.35247262,18895.79852,7075.657827,35323877.76,9507676.333999999,244500.8417,71148.43121,26195.66402,560990.7308,184141.4459,Allen
051201040202,1.0,24487.40235,7060.594989,98.11521151,654.8735512999999,37.56985195,11918.202790000001,4480.809911,21858143.63,5336981.218,172978.0398,49544.627389999994,18301.41443,383221.7935,126226.0542,Allen
051201040203,1.0,50153.80519,6069.027368999999,299.2623803999999,0.058695816,0.0,10204.98895,3836.862439,3536029.8210000005,462574.0817,20588.761980000003,17.74903314,0.0,13198.669329999999,5082.991505,Whitley
051201040204,1.0,35715.2238,11610.5527,102.58208690000001,377.1033925,44.06470078,5225.665397,2008.085809,8078588.328,2197199.308,29914.164119999998,2313.086855,247.86467850000002,57016.248589999996,22988.633159999998,Whitley
051201040205,1.0,30096.20806,9368.137201000001,93.19891167,358.65228460000003,49.83745642,3898.1585579999996,1429.846769,6192849.11,1628551.956,24777.97497,9782.233465000001,1989.4198850000002,74637.70592000001,25280.2738,Whitley
051201040301,1.0,28173.73308,7351.047972,152.7489731,573.2941716,2.489895953,28182.679760000003,11256.73128,2025284.63,410451.9359,12288.8386,1425.130751,186.735857,43703.11643,16038.55921,Whitley
051201040302,1.0,32960.979869999996,10040.24186,148.0179395,660.3197842000001,309.9366753,10551.62935,4674.039033,7158955.241,2224773.683,31749.843839999998,6725.691656999999,3701.0241560000004,70266.64998,32520.4231,Whitley
051201040303,1.0,8255.217001,3048.494207,18.92757319,129.1134474,19.22301382,955.3139570000001,374.4242365,4209837.206,1228361.256,18180.90832,8264.729037000001,1948.0801440000002,80056.93837999999,35347.91681,Whitley
051201040304,1.0,28407.32765,9473.422753,94.46935415,454.8291363,30.30876157,12271.45463,4862.159957,4856667.869,1611187.105,15688.57331,5045.1692,973.9803778999999,59480.877929999995,22848.72365,Whitley
051201040401,1.0,30916.72269,8934.216072,135.0333095,935.8934533,417.31543239999996,7971.042618,3257.818981,31426429.47,5620217.132999999,155795.018,19902.16667,6887.439968000001,192297.4095,67581.97623,Kosciusko
051201040402,1.0,17096.484080000002,5544.639909,68.3575188,294.6757113,176.1177102,2186.983651,1118.507266,5166168.482,1533640.815,23531.77018,3564.913179,2130.628084,28362.16848,14077.81935,Whitley
051201040403,1.0,17140.61046,3598.9409990000004,104.9831344,44.79016125,10.21963298,9850.212054000001,2836.4394989999996,15620269.4,2654472.267,92915.4452,4932.386022,1230.347616,78626.46523999999,23973.25675,Kosciusko
051201040404,1.0,28312.4932,9528.189406,96.49689695,0.0,0.0,5476.5205670000005,1571.13295,7061364.754,1565455.981,41912.56461,0.0,0.0,24288.61448,6968.045137,Wabash
051201040405,1.0,55934.3215,22231.09528,117.5680031,0.155900782,0.038117821,435.59227139999996,124.97752720000001,4955056.533,1528821.076,20312.27018,1190.055601,290.9692,16664.87314,4876.56321,Wabash
051201040406,1.0,14791.721930000002,1657.2063349999999,110.94473810000001,603.5456096,99.8406531,7068.751048,2016.3453539999998,10137033.54,1189080.676,75851.0674,6437.189829,1154.643459,58915.504389999995,16712.64368,Kosciusko
051201040407,1.0,24463.16121,4461.091825,165.9858704,18.17079915,2.127061641,16040.63109,4602.116875,9599008.109,1651841.956,66190.08606,975.1077998,136.1531211,42210.53062,12109.3371,Wabash
051201040501,1.0,25842.63927,2832.99208,178.3542342,763.0730259,320.63850130000003,31944.641989999996,8006.253362,11350476.63,1015917.8659999999,82558.95582999999,8161.145647,2450.357914,112339.8621,29032.95452,Wabash
051201040502,1.0,43501.40006,6143.441881000001,291.1361235,2847.3263260000003,1587.623114,17793.328080000003,4230.553252000001,849159.3549,139991.2469,5540.552135,6650.724336,3671.2060920000004,42342.00352,10132.86514,Wabash
051201040503,1.0,27874.53788,9810.170483,99.87815506,347.4374684,188.1379382,2222.5180920000003,542.62903,914310.0923,305386.308,3460.831349,3228.531934,1339.7581289999998,24452.08649,6985.644799,Wabash
051201040506,1.0,30779.2872,12161.90719,90.52467367,236.7223753,0.646981506,2776.126761,1026.438161,2854546.189,901565.907,15838.83161,6544.511654999999,276.0828792,104507.4898,47100.74076,Wabash
051201040507,1.0,34979.838189999995,11557.20095,128.8892301,4044.333277,0.0,46241.00335,16734.83931,3591403.2739999997,1199605.139,14029.7267,14412.04696,0.0,164780.5623,59634.87018,Wabash
051201040508,1.0,20987.07359,6752.021606,79.31427081,2237.654675,0.0,25584.29047,9259.076551,2513026.54,798254.2647,9641.745748000001,10029.65706,0.0,114674.3787,41501.2037,Wabash
051201040509,1.0,19892.542419999998,2614.879241,131.80235349999998,512.3985423,264.46849069999996,3398.6356579999997,862.0913245999999,1149568.624,209379.7844,6704.779618,3897.208318,1388.592637,31643.19549,9520.20974,Wabash
051201040701,1.0,65688.75047,26275.49826,137.6783551,0.006486703000000001,0.001328056,0.047366507999999995,0.016251086,1490178.009,595285.5942,3092.078007,34.77838339,7.120357492999999,246.8205733,84.75187211,Cass
051201040702,1.0,41100.37245,11693.432990000001,171.95273840000002,0.0,0.0,5139.116046,1713.038682,9685098.374,2754997.4910000004,40526.32978,0.0,0.0,5769.287942,1923.095981,Cass
051201040703,1.0,26019.27034,10358.64796,41.77715396,1.4120305080000002,1.369241705,112.87850320000001,45.05715656,1562508.381,374630.9213,7573.429034000001,50.1947935,48.67373916,4014.647128,1602.3721480000002,Cass
051201040705,1.0,27527.16058,7805.591095000001,141.2050419,4192.640751,19433.439980000003,34466.88113,25260.85282,17151089.92,4506464.877,93719.99582000001,15740.25438,71098.25802000001,142487.5443,98543.69129,Cass
051201050101,1.0,14323.30023,3011.366748,87.43209915,54.85926514,19.104991300000002,2785.4537179999998,1025.8134699999998,7730359.907000001,1669681.744,46000.48691,506.1376837,176.2647753,22819.247069999998,8504.382925,Cass
051201050102,1.0,29216.0936,9940.641534,91.2702473,56.34377472,14.70524912,17689.58397,7032.822189,5848302.544,1214427.654,36491.92443,632.706779,178.6496229,156495.7647,62075.773389999995,Cass
051201050103,1.0,18693.56051,6448.645011,86.24601201,0.76761933,0.0,865.6221883999999,346.2488754,1218649.6509999998,425371.3206,5360.855075,26.62308001,0.0,30022.079810000003,12008.83192,Cass
051201050104,1.0,20623.62494,5467.155392000001,120.60044340000002,100.3462696,59.34145537,3667.348357,1264.326225,14811397.09,3085310.506,100057.3165,3424.699942,3377.0296049999997,112413.5599,38245.57701,Cass
